,Dataset,Method,Classifier,ConformalPredictor,Top1,Top5,alpha,use_platt_scaling,calibrated_tau,original_coverage,original_size,oracle_tau,predicted_alpha,predicted_tau,predicted_coverage,predicted_size,on_classes_of,raps_kreg,raps_lambda,shift_type
69,ImageNet-Sketch,QTC,resnet50,TPS,0.241,0.413,0.025,False,0.9987417373315584,0.64,47.394,0.99999569104381,0.0012199999764561,0.9999989638179064,0.99,753.788,,-1.0,0.0,ImageNet
70,ImageNet-Sketch,QTC-SC,resnet50,TPS,0.241,0.413,0.025,False,0.9987417373315584,0.64,47.394,0.99999569104381,0.0028296709060668,0.9999896925542092,0.953,506.996,,-1.0,0.0,ImageNet
71,ImageNet-Sketch,QTC-ST,resnet50,TCP,0.241,0.413,0.025,,0.9987416721289238,0.64,47.391,0.9999956897190888,,0.9990567564964294,0.664,58.095,,,,ImageNet
72,ImageNet-Sketch,ACR,resnet50,TPS,0.241,0.413,0.05,False,0.99363269250561,0.508,13.795,0.9999886025788364,,0.9990618228912354,0.664,58.303,,-1.0,0.0,ImageNet
73,ImageNet-Sketch,CHR,resnet50,TPS,0.241,0.413,0.05,False,0.99363269250561,0.508,13.795,0.9999886025788364,,0.9997908473014832,0.784,149.845,,-1.0,0.0,ImageNet
74,ImageNet-Sketch,CHR-,resnet50,TPS,0.241,0.413,0.05,False,0.99363269250561,0.508,13.795,0.9999886025788364,,1.0016825199127195,1.0,1000.0,,-1.0,0.0,ImageNet
75,ImageNet-Sketch,DCR,resnet50,TPS,0.241,0.413,0.05,False,0.99363269250561,0.508,13.795,0.9999886025788364,,0.9998262726115108,0.799,165.92,,-1.0,0.0,ImageNet
76,ImageNet-Sketch,PCR,resnet50,TPS,0.241,0.413,0.05,False,0.99363269250561,0.508,13.795,0.9999886025788364,,0.9852254986763,0.448,7.135,,-1.0,0.0,ImageNet
77,ImageNet-Sketch,QTC,resnet50,TPS,0.241,0.413,0.05,False,0.99363269250561,0.508,13.795,0.9999886025788364,0.0027999999001622,0.9999897885920253,0.954,508.223,,-1.0,0.0,ImageNet
78,ImageNet-Sketch,QTC-SC,resnet50,TPS,0.241,0.413,0.05,False,0.99363269250561,0.508,13.795,0.9999886025788364,0.0050501823425292,0.9999599250513465,0.895,326.889,,-1.0,0.0,ImageNet
79,ImageNet-Sketch,QTC-ST,resnet50,TCP,0.241,0.413,0.05,,0.9936310789862414,0.508,13.792,0.9999886034164548,,0.9985851645469666,0.63,43.563,,,,ImageNet
80,ImageNet-Sketch,ACR,resnet50,TPS,0.241,0.413,0.075,False,0.9819785672976588,0.434,6.105,0.9999776802496296,,0.9999860525131226,0.943,466.864,,-1.0,0.0,ImageNet
